Nazwisko aktualne,Liczba
RACZYŃSKA,5946
DROZDOWSKA,5942
NOWACZYK,5938
STELMACH,5936
GAWEŁ,5932
ZIELONKA,5921
ŁUKASZEWSKA,5920
CISZEWSKA,5919
STRZELCZYK,5919
GUTOWSKA,5915
BARTOSIK,5884
WASIAK,5880
ANDRZEJCZAK,5837
SZCZEŚNIAK,5832
BILSKA,5821
SOŁTYS,5819
TARNOWSKA,5817
JAKUBIAK,5792
SKOCZYLAS,5786
PAKUŁA,5778
GĄSIOROWSKA,5741
GÓRNIAK,5721
KĘDZIORA,5713
DUBIEL,5700
MIERZEJEWSKA,5695
BOBER,5677
DZIUBA,5676
MILCZAREK,5658
GUZIK,5656
SZWED,5653
KOPCZYŃSKA,5652
STANEK,5646
MAJCHER,5641
STASZEWSKA,5633
KRUPIŃSKA,5616
CHOLEWA,5573
STOLARCZYK,5571
KACZMARSKA,5545
KAŁUŻNA,5531
JAŚKIEWICZ,5530
SŁOWIŃSKA,5526
JEZIERSKA,5516
SŁAWIŃSKA,5505
MATUSZAK,5492
ZWOLIŃSKA,5492
WIĘCEK,5491
GOŁĄB,5479
GÓRAL,5470
RUSIN,5470
SIEDLECKA,5463
FLOREK,5460
JACKOWSKA,5451
OLCZAK,5445
MISZTAL,5434
ZAGÓRSKA,5429
RUCIŃSKA,5426
KASZUBA,5425
MOTYKA,5394
DOMINIAK,5392
GRZYWACZ,5383
PAWLIKOWSKA,5381
FLORCZAK,5380
MALICKA,5366
WOLAK,5365
SIERADZKA,5362
MODZELEWSKA,5348
PACZKOWSKA,5343
KUCHTA,5335
PYTEL,5332
BOŻEK,5324
IWAŃSKA,5322
ŚWIERCZYŃSKA,5322
SOCHACKA,5311
KULIG,5293
BIEŃKOWSKA,5290
MICHAŁEK,5278
JANKOWIAK,5276
DUDZIAK,5263
KUC,5259
KNAPIK,5249
CZECHOWSKA,5247
KOZA,5242
STĘPNIAK,5238
JANUSZ,5226
STACHURA,5225
NOGA,5222
PARTYKA,5221
WOJTAS,5219
FILIPOWICZ,5214
PROKOP,5214
ADAMUS,5213
GWÓŹDŹ,5213
GAŁKA,5211
JURKOWSKA,5207
KĘPA,5207
SITEK,5201
SKÓRA,5195
KWIECIŃSKA,5193
SKALSKA,5175
DUDZIK,5167
SZYSZKA,5156
PŁONKA,5155
DOBRZYŃSKA,5154
DEC,5153
PASZKOWSKA,5128
ADAMCZAK,5127
ADAMEK,5124
BIELAK,5122
KAPUSTA,5121
MAŃKOWSKA,5111
KOLASA,5110
BRODA,5102
STANISŁAWSKA,5094
WŁODARSKA,5092
MROCZKOWSKA,5085
ROSA,5084
SZATKOWSKA,5060
KRUSZEWSKA,5054
SUSKA,5051
KOWALCZUK,5050
TOMALA,5029
CHOJNOWSKA,5028
MAJKA,5023
SZCZERBA,5021
WOŚ,5002
LIPKA,4998
MOLENDA,4995
NIEMCZYK,4995
PUCHALSKA,4994
MICHALCZYK,4983
TRZECIAK,4958
SKOWRONEK,4944
WYSZYŃSKA,4943
AUGUSTYN,4935
JANUSZEWSKA,4930
KOTOWSKA,4917
GŁOGOWSKA,4913
BUCZYŃSKA,4911
CHMURA,4909
ADAMOWICZ,4901
LENART,4901
NIEDZIELSKA,4886
ZDUNEK,4863
ŻUK,4857
KITA,4854
PIECHOTA,4854
SALAMON,4853
ZIĘTEK,4844
MAŚLANKA,4834
MROZEK,4834
DRABIK,4830
ADAMIAK,4827
KANIEWSKA,4827
KOBUS,4818
STOLARSKA,4808
KOPER,4798
BANASIK,4780
WARCHOŁ,4779
BĄKOWSKA,4778
WYPYCH,4777
PRZYBYŁ,4775
BUDZYŃSKA,4773
KOŁAKOWSKA,4760
JAGIELSKA,4759
DRÓŻDŻ,4745
KOGUT,4726
PILCH,4725
SOŁTYSIAK,4724
NIEDŹWIECKA,4718
BUCZKOWSKA,4704
TOKARZ,4703
GORCZYCA,4700
GRZESIK,4693
KAWA,4693
MIŚKIEWICZ,4689
MALIK,4684
ROBAK,4675
RUDZIŃSKA,4672
KIEŁBASA,4671
